date,team1,team2,city,venue,toss_winner,toss_decision,winner,year,home_team,team1_recent_form,team2_recent_form,team1_h2h_wins,team2_h2h_wins,toss_match_win,target,team1_strength,team2_strength
2024-12-08,Bangladesh,West Indies,Basseterre,"Warner Park, Basseterre, St Kitts",Bangladesh,bat,West Indies,2024,Neutral,3,3,14,2,0,0,0.5107913669064749,0.34591194968553457
2024-12-10,Bangladesh,West Indies,Basseterre,"Warner Park, Basseterre, St Kitts",West Indies,field,West Indies,2024,Neutral,3,4,14,3,1,0,0.5107913669064749,0.34591194968553457
2024-12-12,Bangladesh,West Indies,Basseterre,"Warner Park, Basseterre, St Kitts",West Indies,field,West Indies,2024,Neutral,2,4,14,4,1,0,0.5107913669064749,0.34591194968553457
2024-12-17,South Africa,Pakistan,Paarl,"Boland Park, Paarl",South Africa,bat,Pakistan,2024,Neutral,3,4,5,7,0,0,0.5828220858895705,0.5123456790123457
2024-12-19,Pakistan,South Africa,Cape Town,"Newlands, Cape Town",South Africa,field,Pakistan,2024,South Africa,4,2,8,5,0,1,0.5123456790123457,0.5828220858895705
2024-12-22,Pakistan,South Africa,Johannesburg,"The Wanderers Stadium, Johannesburg",South Africa,field,Pakistan,2024,South Africa,4,2,9,5,0,1,0.5123456790123457,0.5828220858895705
2025-01-05,Sri Lanka,New Zealand,Wellington,"Basin Reserve, Wellington",New Zealand,field,New Zealand,2025,New Zealand,4,2,5,15,1,0,0.41899441340782123,0.6271186440677966
2025-01-08,New Zealand,Sri Lanka,Hamilton,"Seddon Park, Hamilton",Sri Lanka,field,New Zealand,2025,New Zealand,2,3,16,5,0,1,0.6271186440677966,0.41899441340782123
2025-01-11,Sri Lanka,New Zealand,Auckland,"Eden Park, Auckland",Sri Lanka,bat,Sri Lanka,2025,New Zealand,2,2,5,17,1,1,0.41899441340782123,0.6271186440677966
2025-02-06,England,India,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",England,bat,India,2025,Neutral,2,2,8,8,0,0,0.5895953757225434,0.673469387755102
2025-02-08,United States of America,Namibia,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,field,United States of America,2025,Neutral,3,1,5,3,0,1,0.5571428571428572,0.5
2025-02-08,New Zealand,Pakistan,Lahore,"Gaddafi Stadium, Lahore",New Zealand,bat,New Zealand,2025,Pakistan,2,5,13,8,1,1,0.6271186440677966,0.5123456790123457
2025-02-09,England,India,Cuttack,"Barabati Stadium, Cuttack",England,bat,India,2025,Neutral,1,2,8,9,0,0,0.5895953757225434,0.673469387755102
2025-02-10,South Africa,New Zealand,Lahore,"Gaddafi Stadium, Lahore",New Zealand,field,New Zealand,2025,Neutral,1,3,6,5,1,0,0.5828220858895705,0.6271186440677966
2025-02-10,Namibia,Oman,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Namibia,2025,Neutral,1,4,6,2,0,1,0.5,0.5151515151515151
2025-02-12,United States of America,Oman,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,bat,Oman,2025,Neutral,3,4,1,4,0,0,0.5571428571428572,0.5151515151515151
2025-02-12,Sri Lanka,Australia,Colombo,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,2025,Sri Lanka,3,2,4,9,1,1,0.41899441340782123,0.5705882352941176
2025-02-12,South Africa,Pakistan,Karachi,"National Stadium, Karachi",South Africa,bat,Pakistan,2025,Pakistan,0,4,5,10,0,0,0.5828220858895705,0.5123456790123457
2025-02-12,India,England,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",England,field,India,2025,India,3,1,10,8,0,1,0.673469387755102,0.5895953757225434
2025-02-14,Sri Lanka,Australia,Colombo,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,2025,Sri Lanka,3,2,5,9,1,1,0.41899441340782123,0.5705882352941176
2025-02-14,Pakistan,New Zealand,Karachi,"National Stadium, Karachi",Pakistan,bat,New Zealand,2025,Pakistan,4,4,8,14,0,0,0.5123456790123457,0.6271186440677966
2025-02-14,Zimbabwe,Ireland,Harare,Harare Sports Club,Ireland,field,Zimbabwe,2025,Neutral,1,3,5,9,0,1,0.29357798165137616,0.4024390243902439
2025-02-14,United States of America,Namibia,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,field,United States of America,2025,Neutral,2,2,6,3,0,1,0.5571428571428572,0.5
2025-02-16,Namibia,Oman,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,Oman,2025,Neutral,2,4,7,2,0,0,0.5,0.5151515151515151
2025-02-16,Zimbabwe,Ireland,Harare,Harare Sports Club,Ireland,field,Ireland,2025,Neutral,2,2,6,9,1,0,0.29357798165137616,0.4024390243902439
2025-02-18,United States of America,Oman,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,United States of America,2025,Neutral,3,4,1,5,0,1,0.5571428571428572,0.5151515151515151
2025-02-18,Ireland,Zimbabwe,Harare,Harare Sports Club,Zimbabwe,field,Zimbabwe,2025,Neutral,2,2,10,6,1,0,0.4024390243902439,0.29357798165137616
2025-02-19,New Zealand,Pakistan,Karachi,"National Stadium, Karachi",Pakistan,field,New Zealand,2025,Pakistan,4,3,15,8,0,1,0.6271186440677966,0.5123456790123457
2025-02-20,Bangladesh,India,Dubai,Dubai International Cricket Stadium,Bangladesh,bat,India,2025,Neutral,1,3,5,8,0,0,0.5107913669064749,0.673469387755102
2025-02-22,England,Australia,Lahore,"Gaddafi Stadium, Lahore",Australia,field,Australia,2025,Neutral,1,1,16,18,1,0,0.5895953757225434,0.5705882352941176
2025-02-23,Pakistan,India,Dubai,Dubai International Cricket Stadium,Pakistan,bat,India,2025,Neutral,2,4,1,7,0,0,0.5123456790123457,0.673469387755102
2025-02-24,Bangladesh,New Zealand,Rawalpindi,Rawalpindi Cricket Stadium,New Zealand,field,New Zealand,2025,Neutral,1,4,3,17,1,0,0.5107913669064749,0.6271186440677966
2025-03-01,England,South Africa,Karachi,"National Stadium, Karachi",England,bat,South Africa,2025,Neutral,0,0,8,9,0,0,0.5895953757225434,0.5828220858895705
2025-03-02,India,New Zealand,Dubai,Dubai International Cricket Stadium,New Zealand,field,India,2025,Neutral,5,5,14,9,0,1,0.673469387755102,0.6271186440677966
2025-03-04,Australia,India,Dubai,Dubai International Cricket Stadium,Australia,bat,India,2025,Neutral,1,5,18,17,0,0,0.5705882352941176,0.673469387755102
2025-03-05,New Zealand,South Africa,Lahore,"Gaddafi Stadium, Lahore",New Zealand,bat,New Zealand,2025,Neutral,4,1,6,6,1,1,0.6271186440677966,0.5828220858895705
2025-03-07,Netherlands,Namibia,Windhoek,"Wanderers Cricket Ground, Windhoek",Namibia,field,Netherlands,2025,Neutral,2,2,1,1,0,1,0.4098360655737705,0.5
2025-03-09,New Zealand,India,Dubai,Dubai International Cricket Stadium,New Zealand,bat,India,2025,Neutral,4,5,9,15,0,0,0.6271186440677966,0.673469387755102
2025-03-13,Namibia,Netherlands,Windhoek,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Netherlands,2025,Neutral,1,2,1,2,0,0,0.5,0.4098360655737705
2025-03-15,Namibia,Canada,Windhoek,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,2025,Neutral,1,4,1,0,1,1,0.5,0.37037037037037035
2025-03-29,New Zealand,Pakistan,Napier,"McLean Park, Napier",Pakistan,field,New Zealand,2025,New Zealand,3,1,16,8,0,1,0.6271186440677966,0.5123456790123457
2025-04-02,New Zealand,Pakistan,Hamilton,"Seddon Park, Hamilton",Pakistan,field,New Zealand,2025,New Zealand,3,1,17,8,0,1,0.6271186440677966,0.5123456790123457
2025-04-05,New Zealand,Pakistan,Mount Maunganui,"Bay Oval, Mount Maunganui",Pakistan,field,New Zealand,2025,New Zealand,3,0,18,8,0,1,0.6271186440677966,0.5123456790123457
