date,team1,team2,city,venue,toss_winner,toss_decision,winner,year,home_team,team1_recent_form,team2_recent_form,team1_h2h_wins,team2_h2h_wins,toss_match_win,target,team1_strength,team2_strength
2015-01-11,New Zealand,Sri Lanka,Christchurch,Hagley Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,0,0,0,0,0,1,0.6271186440677966,0.41899441340782123
2015-01-12,Ireland,Scotland,Unknown,Dubai International Cricket Stadium,Ireland,field,Ireland,2015,Neutral,0,0,0,0,1,1,0.4024390243902439,0.5714285714285714
2015-01-15,New Zealand,Sri Lanka,Hamilton,Seddon Park,New Zealand,bat,Sri Lanka,2015,New Zealand,1,0,1,0,0,0,0.6271186440677966,0.41899441340782123
2015-01-16,South Africa,West Indies,Durban,Kingsmead,South Africa,bat,South Africa,2015,South Africa,0,0,0,0,1,1,0.5828220858895705,0.34591194968553457
2015-01-16,Australia,England,Unknown,Sydney Cricket Ground,England,bat,Australia,2015,Australia,0,0,0,0,0,1,0.5705882352941176,0.5895953757225434
2015-01-18,South Africa,West Indies,Johannesburg,New Wanderers Stadium,West Indies,field,South Africa,2015,South Africa,1,0,1,0,0,1,0.5828220858895705,0.34591194968553457
2015-01-18,Australia,India,Unknown,Melbourne Cricket Ground,India,bat,Australia,2015,Australia,1,0,0,0,0,1,0.5705882352941176,0.673469387755102
2015-01-20,England,India,Brisbane,"Brisbane Cricket Ground, Woolloongabba",India,bat,England,2015,Neutral,0,0,0,0,0,1,0.5895953757225434,0.673469387755102
2015-01-20,New Zealand,Sri Lanka,Nelson,Saxton Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,1,1,1,1,0,1,0.6271186440677966,0.41899441340782123
2015-01-21,South Africa,West Indies,East London,Buffalo Park,West Indies,bat,South Africa,2015,South Africa,2,0,2,0,0,1,0.5828220858895705,0.34591194968553457
2015-01-23,New Zealand,Sri Lanka,Dunedin,University Oval,Sri Lanka,field,New Zealand,2015,New Zealand,2,1,2,1,0,1,0.6271186440677966,0.41899441340782123
2015-01-23,Australia,England,Hobart,Bellerive Oval,Australia,field,Australia,2015,Australia,2,1,1,0,1,1,0.5705882352941176,0.5895953757225434
2015-01-25,New Zealand,Sri Lanka,Dunedin,University Oval,New Zealand,bat,New Zealand,2015,New Zealand,3,1,3,1,1,1,0.6271186440677966,0.41899441340782123
2015-01-25,South Africa,West Indies,Port Elizabeth,St George's Park,West Indies,field,West Indies,2015,South Africa,3,0,3,0,1,0,0.5828220858895705,0.34591194968553457
2015-01-28,South Africa,West Indies,Centurion,SuperSport Park,West Indies,field,South Africa,2015,South Africa,3,1,3,1,0,1,0.5828220858895705,0.34591194968553457
2015-01-29,New Zealand,Sri Lanka,Wellington,Westpac Stadium,Sri Lanka,bat,Sri Lanka,2015,New Zealand,4,1,4,1,1,0,0.6271186440677966,0.41899441340782123
2015-01-30,England,India,Perth,Western Australia Cricket Association Ground,England,field,England,2015,Neutral,1,0,1,0,1,1,0.5895953757225434,0.673469387755102
2015-01-31,New Zealand,Pakistan,Wellington,Westpac Stadium,New Zealand,field,New Zealand,2015,New Zealand,3,0,0,0,1,1,0.6271186440677966,0.5123456790123457
2015-02-01,Australia,England,Perth,Western Australia Cricket Association Ground,England,field,Australia,2015,Australia,3,2,2,0,0,1,0.5705882352941176,0.5895953757225434
2015-02-03,New Zealand,Pakistan,Napier,McLean Park,New Zealand,bat,New Zealand,2015,New Zealand,4,0,1,0,1,1,0.6271186440677966,0.5123456790123457
2015-02-14,New Zealand,Sri Lanka,Christchurch,Hagley Oval,Sri Lanka,field,New Zealand,2015,New Zealand,4,2,4,2,0,1,0.6271186440677966,0.41899441340782123
2015-02-14,Australia,England,Unknown,Melbourne Cricket Ground,England,field,Australia,2015,Australia,4,2,3,0,0,1,0.5705882352941176,0.5895953757225434
2015-02-15,South Africa,Zimbabwe,Hamilton,Seddon Park,Zimbabwe,field,South Africa,2015,Neutral,4,0,0,0,0,1,0.5828220858895705,0.29357798165137616
2015-02-15,India,Pakistan,Unknown,Adelaide Oval,India,bat,India,2015,Neutral,0,0,0,0,1,1,0.673469387755102,0.5123456790123457
2015-02-16,Ireland,West Indies,Nelson,Saxton Oval,Ireland,field,Ireland,2015,Neutral,1,1,0,0,1,1,0.4024390243902439,0.34591194968553457
2015-02-17,New Zealand,Scotland,Dunedin,University Oval,New Zealand,field,New Zealand,2015,New Zealand,4,0,0,0,1,1,0.6271186440677966,0.5714285714285714
2015-02-19,United Arab Emirates,Zimbabwe,Nelson,Saxton Oval,Zimbabwe,field,Zimbabwe,2015,Neutral,0,0,0,0,1,0,0.3486238532110092,0.29357798165137616
2015-02-20,New Zealand,England,Wellington,Westpac Stadium,England,bat,New Zealand,2015,New Zealand,4,2,0,0,0,1,0.6271186440677966,0.5895953757225434
2015-02-21,Pakistan,West Indies,Christchurch,Hagley Oval,Pakistan,field,West Indies,2015,Neutral,0,1,0,0,0,0,0.5123456790123457,0.34591194968553457
2015-02-22,India,South Africa,Unknown,Melbourne Cricket Ground,India,bat,India,2015,Neutral,1,4,0,0,1,1,0.673469387755102,0.5828220858895705
2015-02-23,England,Scotland,Christchurch,Hagley Oval,Scotland,field,England,2015,Neutral,1,0,0,0,0,1,0.5895953757225434,0.5714285714285714
2015-02-24,West Indies,Zimbabwe,Canberra,Manuka Oval,West Indies,bat,West Indies,2015,Neutral,2,1,0,0,1,1,0.34591194968553457,0.29357798165137616
2015-02-25,Ireland,United Arab Emirates,Brisbane,"Brisbane Cricket Ground, Woolloongabba",Ireland,field,Ireland,2015,Neutral,2,0,0,0,1,1,0.4024390243902439,0.3486238532110092
2015-02-26,Bangladesh,Sri Lanka,Unknown,Melbourne Cricket Ground,Sri Lanka,bat,Sri Lanka,2015,Neutral,0,1,0,0,1,0,0.5107913669064749,0.41899441340782123
2015-02-27,South Africa,West Indies,Unknown,Sydney Cricket Ground,South Africa,bat,South Africa,2015,Neutral,3,3,4,1,1,1,0.5828220858895705,0.34591194968553457
2015-02-28,India,United Arab Emirates,Perth,Western Australia Cricket Association Ground,United Arab Emirates,bat,India,2015,Neutral,2,0,0,0,0,1,0.673469387755102,0.3486238532110092
2015-02-28,New Zealand,Australia,Auckland,Eden Park,Australia,bat,New Zealand,2015,New Zealand,5,5,0,0,0,1,0.6271186440677966,0.5705882352941176
2015-03-01,England,Sri Lanka,Wellington,Westpac Stadium,England,bat,Sri Lanka,2015,Neutral,2,2,0,0,0,0,0.5895953757225434,0.41899441340782123
2015-03-01,Pakistan,Zimbabwe,Brisbane,"Brisbane Cricket Ground, Woolloongabba",Pakistan,bat,Pakistan,2015,Neutral,0,1,0,0,1,1,0.5123456790123457,0.29357798165137616
2015-03-03,Ireland,South Africa,Canberra,Manuka Oval,South Africa,bat,South Africa,2015,Neutral,3,3,0,0,1,0,0.4024390243902439,0.5828220858895705
2015-03-04,Pakistan,United Arab Emirates,Napier,McLean Park,United Arab Emirates,field,Pakistan,2015,Neutral,1,0,0,0,0,1,0.5123456790123457,0.3486238532110092
2015-03-05,Bangladesh,Scotland,Nelson,Saxton Oval,Bangladesh,field,Bangladesh,2015,Neutral,0,0,0,0,1,1,0.5107913669064749,0.5714285714285714
2015-03-06,India,West Indies,Perth,Western Australia Cricket Association Ground,West Indies,bat,India,2015,Neutral,3,2,0,0,0,1,0.673469387755102,0.34591194968553457
2015-03-07,Ireland,Zimbabwe,Hobart,Bellerive Oval,Zimbabwe,field,Ireland,2015,Neutral,3,1,0,0,0,1,0.4024390243902439,0.29357798165137616
2015-03-07,Pakistan,South Africa,Auckland,Eden Park,South Africa,field,Pakistan,2015,Neutral,2,4,0,0,0,1,0.5123456790123457,0.5828220858895705
2015-03-08,Australia,Sri Lanka,Unknown,Sydney Cricket Ground,Australia,bat,Australia,2015,Australia,4,3,0,0,1,1,0.5705882352941176,0.41899441340782123
2015-03-09,Bangladesh,England,Unknown,Adelaide Oval,England,field,Bangladesh,2015,Neutral,1,1,0,0,0,1,0.5107913669064749,0.5895953757225434
2015-03-10,India,Ireland,Hamilton,Seddon Park,Ireland,bat,India,2015,Neutral,4,4,0,0,0,1,0.673469387755102,0.4024390243902439
2015-03-11,Scotland,Sri Lanka,Hobart,Bellerive Oval,Sri Lanka,bat,Sri Lanka,2015,Neutral,0,3,0,0,1,0,0.5714285714285714,0.41899441340782123
2015-03-12,South Africa,United Arab Emirates,Wellington,Westpac Stadium,United Arab Emirates,field,South Africa,2015,Neutral,3,0,0,0,0,1,0.5828220858895705,0.3486238532110092
2015-03-13,New Zealand,Bangladesh,Hamilton,Seddon Park,New Zealand,field,New Zealand,2015,New Zealand,5,2,0,0,1,1,0.6271186440677966,0.5107913669064749
2015-03-14,Australia,Scotland,Hobart,Bellerive Oval,Australia,field,Australia,2015,Australia,4,0,0,0,1,1,0.5705882352941176,0.5714285714285714
2015-03-14,India,Zimbabwe,Auckland,Eden Park,India,field,India,2015,Neutral,5,1,0,0,1,1,0.673469387755102,0.29357798165137616
2015-03-15,United Arab Emirates,West Indies,Napier,McLean Park,West Indies,field,West Indies,2015,Neutral,0,2,0,0,1,0,0.3486238532110092,0.34591194968553457
2015-03-15,Ireland,Pakistan,Unknown,Adelaide Oval,Ireland,bat,Pakistan,2015,Neutral,3,3,0,0,0,0,0.4024390243902439,0.5123456790123457
2015-03-18,South Africa,Sri Lanka,Unknown,Sydney Cricket Ground,Sri Lanka,bat,South Africa,2015,Neutral,3,3,0,0,0,1,0.5828220858895705,0.41899441340782123
2015-03-19,Bangladesh,India,Unknown,Melbourne Cricket Ground,India,bat,India,2015,Neutral,2,5,0,0,1,0,0.5107913669064749,0.673469387755102
2015-03-20,Australia,Pakistan,Unknown,Adelaide Oval,Pakistan,bat,Australia,2015,Australia,4,4,0,0,0,1,0.5705882352941176,0.5123456790123457
2015-03-21,New Zealand,West Indies,Wellington,Westpac Stadium,New Zealand,bat,New Zealand,2015,New Zealand,5,3,0,0,1,1,0.6271186440677966,0.34591194968553457
2015-03-24,New Zealand,South Africa,Auckland,Eden Park,South Africa,bat,New Zealand,2015,New Zealand,5,4,0,0,0,1,0.6271186440677966,0.5828220858895705
2015-03-26,Australia,India,Unknown,Sydney Cricket Ground,Australia,bat,Australia,2015,Australia,4,5,1,0,1,1,0.5705882352941176,0.673469387755102
2015-03-29,Australia,New Zealand,Unknown,Melbourne Cricket Ground,New Zealand,bat,Australia,2015,Australia,4,5,0,1,0,1,0.5705882352941176,0.6271186440677966
2015-04-17,Bangladesh,Pakistan,Mirpur,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,2015,Pakistan,2,4,0,0,1,1,0.5107913669064749,0.5123456790123457
2015-04-19,Bangladesh,Pakistan,Mirpur,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,2015,Pakistan,3,3,1,0,0,1,0.5107913669064749,0.5123456790123457
2015-04-22,Bangladesh,Pakistan,Mirpur,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,2015,Pakistan,3,2,2,0,0,1,0.5107913669064749,0.5123456790123457
2015-05-26,Pakistan,Zimbabwe,Lahore,Gaddafi Stadium,Pakistan,bat,Pakistan,2015,Pakistan,1,1,1,0,1,1,0.5123456790123457,0.29357798165137616
2015-05-29,Pakistan,Zimbabwe,Lahore,Gaddafi Stadium,Pakistan,field,Pakistan,2015,Pakistan,1,0,2,0,1,1,0.5123456790123457,0.29357798165137616
2015-06-09,England,New Zealand,Birmingham,Edgbaston,New Zealand,field,England,2015,England,1,4,0,1,0,1,0.5895953757225434,0.6271186440677966
2015-06-12,England,New Zealand,London,Kennington Oval,New Zealand,bat,New Zealand,2015,England,2,3,1,1,1,0,0.5895953757225434,0.6271186440677966
2015-06-14,England,New Zealand,Southampton,The Rose Bowl,England,bat,New Zealand,2015,Neutral,2,3,1,2,0,0,0.5895953757225434,0.6271186440677966
2015-06-17,England,New Zealand,Nottingham,Trent Bridge,New Zealand,bat,England,2015,England,1,3,1,3,0,1,0.5895953757225434,0.6271186440677966
2015-06-18,Bangladesh,India,Mirpur,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,2015,Neutral,3,4,0,1,1,1,0.5107913669064749,0.673469387755102
2015-06-20,England,New Zealand,Chester-le-Street,Riverside Ground,England,field,England,2015,England,2,2,2,3,1,1,0.5895953757225434,0.6271186440677966
2015-06-21,Bangladesh,India,Mirpur,Shere Bangla National Stadium,India,bat,Bangladesh,2015,Neutral,4,3,1,1,0,1,0.5107913669064749,0.673469387755102
2015-06-24,Bangladesh,India,Mirpur,Shere Bangla National Stadium,Bangladesh,field,India,2015,Neutral,5,2,2,1,0,0,0.5107913669064749,0.673469387755102
2015-07-10,Bangladesh,South Africa,Mirpur,Shere Bangla National Stadium,Bangladesh,bat,South Africa,2015,Neutral,4,3,0,0,0,0,0.5107913669064749,0.5828220858895705
2015-07-10,Zimbabwe,India,Unknown,Harare Sports Club,Zimbabwe,field,India,2015,Neutral,0,2,0,1,0,0,0.29357798165137616,0.673469387755102
2015-07-11,Sri Lanka,Pakistan,Unknown,Rangiri Dambulla International Stadium,Pakistan,field,Pakistan,2015,Neutral,3,2,0,0,1,0,0.41899441340782123,0.5123456790123457
2015-07-12,Zimbabwe,India,Unknown,Harare Sports Club,Zimbabwe,field,India,2015,Neutral,0,2,0,2,0,0,0.29357798165137616,0.673469387755102
2015-07-12,Bangladesh,South Africa,Mirpur,Shere Bangla National Stadium,South Africa,bat,Bangladesh,2015,Neutral,3,3,0,1,0,1,0.5107913669064749,0.5828220858895705
2015-07-14,Zimbabwe,India,Unknown,Harare Sports Club,Zimbabwe,field,India,2015,Neutral,0,3,0,3,0,0,0.29357798165137616,0.673469387755102
2015-07-15,Sri Lanka,Pakistan,Unknown,Pallekele International Cricket Stadium,Pakistan,bat,Sri Lanka,2015,Sri Lanka,2,3,0,1,0,1,0.41899441340782123,0.5123456790123457
2015-07-15,Bangladesh,South Africa,Chittagong,Zahur Ahmed Chowdhury Stadium,South Africa,bat,Bangladesh,2015,Bangladesh,3,3,1,1,0,1,0.5107913669064749,0.5828220858895705
2015-07-19,Sri Lanka,Pakistan,Colombo,R Premadasa Stadium,Pakistan,bat,Pakistan,2015,Sri Lanka,2,3,1,1,1,0,0.41899441340782123,0.5123456790123457
2015-07-22,Sri Lanka,Pakistan,Colombo,R Premadasa Stadium,Sri Lanka,bat,Pakistan,2015,Sri Lanka,2,4,1,2,0,0,0.41899441340782123,0.5123456790123457
2015-07-26,Sri Lanka,Pakistan,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka,2015,Neutral,1,4,1,3,1,1,0.41899441340782123,0.5123456790123457
2015-08-02,Zimbabwe,New Zealand,Unknown,Harare Sports Club,Zimbabwe,field,Zimbabwe,2015,Neutral,0,2,0,0,1,1,0.29357798165137616,0.6271186440677966
2015-08-04,Zimbabwe,New Zealand,Unknown,Harare Sports Club,Zimbabwe,bat,New Zealand,2015,Neutral,1,2,1,0,0,0,0.29357798165137616,0.6271186440677966
2015-08-07,Zimbabwe,New Zealand,Unknown,Harare Sports Club,Zimbabwe,field,New Zealand,2015,Neutral,1,2,1,1,0,0,0.29357798165137616,0.6271186440677966
2015-08-19,South Africa,New Zealand,Centurion,SuperSport Park,New Zealand,field,South Africa,2015,South Africa,2,2,0,1,0,1,0.5828220858895705,0.6271186440677966
2015-08-23,South Africa,New Zealand,Potchefstroom,Senwes Park,South Africa,bat,New Zealand,2015,South Africa,2,2,1,1,0,0,0.5828220858895705,0.6271186440677966
2015-08-26,South Africa,New Zealand,Durban,Kingsmead,South Africa,bat,South Africa,2015,South Africa,2,3,1,2,1,1,0.5828220858895705,0.6271186440677966
2015-08-27,Ireland,Australia,Belfast,"Civil Service Cricket Club, Stormont",Australia,bat,Australia,2015,Neutral,2,5,0,0,1,0,0.4024390243902439,0.5705882352941176
2015-09-03,England,Australia,Southampton,The Rose Bowl,Australia,bat,Australia,2015,Neutral,3,5,0,4,1,0,0.5895953757225434,0.5705882352941176
2015-09-05,England,Australia,London,Lord's,England,field,Australia,2015,England,2,5,0,5,0,0,0.5895953757225434,0.5705882352941176
2015-09-08,England,Australia,Manchester,Old Trafford,England,bat,England,2015,England,2,5,0,6,1,1,0.5895953757225434,0.5705882352941176
2015-09-11,England,Australia,Leeds,Headingley,Australia,bat,England,2015,England,3,4,1,6,0,1,0.5895953757225434,0.5705882352941176
2015-09-13,England,Australia,Manchester,Old Trafford,England,bat,Australia,2015,England,3,3,2,6,0,0,0.5895953757225434,0.5705882352941176
2015-10-01,Zimbabwe,Pakistan,Unknown,Harare Sports Club,Zimbabwe,field,Pakistan,2015,Neutral,1,3,0,3,0,0,0.29357798165137616,0.5123456790123457
2015-10-03,Zimbabwe,Pakistan,Unknown,Harare Sports Club,Pakistan,field,Zimbabwe,2015,Neutral,1,3,0,4,0,1,0.29357798165137616,0.5123456790123457
2015-10-05,Zimbabwe,Pakistan,Unknown,Harare Sports Club,Pakistan,field,Pakistan,2015,Neutral,2,3,1,4,1,0,0.29357798165137616,0.5123456790123457
2015-10-09,Zimbabwe,Ireland,Unknown,Harare Sports Club,Zimbabwe,field,Zimbabwe,2015,Neutral,1,1,0,1,1,1,0.29357798165137616,0.4024390243902439
2015-10-11,India,South Africa,Kanpur,Green Park,South Africa,bat,South Africa,2015,India,4,2,1,0,1,0,0.673469387755102,0.5828220858895705
2015-10-11,Zimbabwe,Ireland,Unknown,Harare Sports Club,Zimbabwe,field,Zimbabwe,2015,Neutral,2,1,1,1,1,1,0.29357798165137616,0.4024390243902439
2015-10-13,Zimbabwe,Ireland,Unknown,Harare Sports Club,Ireland,field,Ireland,2015,Neutral,3,0,2,1,1,0,0.29357798165137616,0.4024390243902439
2015-10-14,India,South Africa,Indore,Holkar Cricket Stadium,India,bat,India,2015,Neutral,4,3,1,1,1,1,0.673469387755102,0.5828220858895705
2015-10-18,India,South Africa,Rajkot,Saurashtra Cricket Association Stadium,South Africa,bat,South Africa,2015,Neutral,4,3,2,1,1,0,0.673469387755102,0.5828220858895705
2015-10-22,India,South Africa,Chennai,"MA Chidambaram Stadium, Chepauk",India,bat,India,2015,India,3,3,2,2,1,1,0.673469387755102,0.5828220858895705
2015-10-25,India,South Africa,Mumbai,Wankhede Stadium,South Africa,bat,South Africa,2015,India,3,3,3,2,1,0,0.673469387755102,0.5828220858895705
2015-11-01,Sri Lanka,West Indies,Colombo,R Premadasa Stadium,Sri Lanka,field,Sri Lanka,2015,Sri Lanka,2,2,0,0,1,1,0.41899441340782123,0.34591194968553457
2015-11-04,Sri Lanka,West Indies,Colombo,R Premadasa Stadium,West Indies,bat,Sri Lanka,2015,Sri Lanka,3,1,1,0,0,1,0.41899441340782123,0.34591194968553457
2015-11-07,Bangladesh,Zimbabwe,Mirpur,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh,2015,Neutral,3,3,0,0,0,1,0.5107913669064749,0.29357798165137616
2015-11-07,Sri Lanka,West Indies,Unknown,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,2015,Sri Lanka,3,1,2,0,1,1,0.41899441340782123,0.34591194968553457
2015-11-09,Bangladesh,Zimbabwe,Mirpur,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh,2015,Neutral,3,2,1,0,0,1,0.5107913669064749,0.29357798165137616
2015-11-11,Bangladesh,Zimbabwe,Mirpur,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,2015,Neutral,4,2,2,0,1,1,0.5107913669064749,0.29357798165137616
2015-11-11,England,Pakistan,Abu Dhabi,Sheikh Zayed Stadium,England,bat,Pakistan,2015,Neutral,2,3,0,0,0,0,0.5895953757225434,0.5123456790123457
2015-11-13,England,Pakistan,Abu Dhabi,Sheikh Zayed Stadium,England,bat,England,2015,Neutral,2,3,0,1,1,1,0.5895953757225434,0.5123456790123457
2015-11-16,United Arab Emirates,Hong Kong,Dubai,ICC Academy,Hong Kong,bat,Hong Kong,2015,Neutral,0,0,0,0,1,0,0.3486238532110092,0.38461538461538464
2015-11-17,England,Pakistan,Unknown,Sharjah Cricket Stadium,Pakistan,bat,England,2015,Neutral,3,3,1,1,0,1,0.5895953757225434,0.5123456790123457
2015-11-20,England,Pakistan,Unknown,Dubai International Cricket Stadium,England,bat,England,2015,Neutral,3,2,2,1,1,1,0.5895953757225434,0.5123456790123457
2015-12-26,New Zealand,Sri Lanka,Christchurch,Hagley Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,3,4,5,2,0,1,0.6271186440677966,0.41899441340782123
2015-12-28,New Zealand,Sri Lanka,Christchurch,Hagley Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,3,4,6,2,0,1,0.6271186440677966,0.41899441340782123
2015-12-31,New Zealand,Sri Lanka,Nelson,Saxton Oval,New Zealand,bat,Sri Lanka,2015,New Zealand,3,3,7,2,0,0,0.6271186440677966,0.41899441340782123
2016-01-05,New Zealand,Sri Lanka,Mount Maunganui,Bay Oval,Sri Lanka,field,New Zealand,2016,New Zealand,3,3,7,3,0,1,0.6271186440677966,0.41899441340782123
2016-01-12,Australia,India,Perth,Western Australia Cricket Association Ground,India,bat,Australia,2016,Australia,3,2,2,0,0,1,0.5705882352941176,0.673469387755102
2016-01-15,Australia,India,Brisbane,"Brisbane Cricket Ground, Woolloongabba",India,bat,Australia,2016,Australia,3,2,3,0,0,1,0.5705882352941176,0.673469387755102
2016-01-17,Australia,India,Unknown,Melbourne Cricket Ground,Australia,field,Australia,2016,Australia,3,1,4,0,1,1,0.5705882352941176,0.673469387755102
2016-01-20,Australia,India,Canberra,Manuka Oval,Australia,bat,Australia,2016,Australia,4,1,5,0,1,1,0.5705882352941176,0.673469387755102
2016-01-23,Australia,India,Unknown,Sydney Cricket Ground,India,field,India,2016,Australia,5,0,6,0,1,0,0.5705882352941176,0.673469387755102
2016-01-25,New Zealand,Pakistan,Wellington,Basin Reserve,Pakistan,field,New Zealand,2016,New Zealand,3,2,2,0,0,1,0.6271186440677966,0.5123456790123457
2016-01-31,New Zealand,Pakistan,Auckland,Eden Park,Pakistan,bat,New Zealand,2016,New Zealand,4,1,3,0,0,1,0.6271186440677966,0.5123456790123457
2016-02-03,South Africa,England,Bloemfontein,Mangaung Oval,England,bat,England,2016,South Africa,3,3,0,0,1,0,0.5828220858895705,0.5895953757225434
2016-02-03,New Zealand,Australia,Auckland,Eden Park,Australia,field,New Zealand,2016,New Zealand,4,4,1,1,0,1,0.6271186440677966,0.5705882352941176
2016-02-06,South Africa,England,Port Elizabeth,St George's Park,South Africa,bat,England,2016,South Africa,2,4,0,1,0,0,0.5828220858895705,0.5895953757225434
2016-02-06,New Zealand,Australia,Wellington,Westpac Stadium,New Zealand,bat,Australia,2016,New Zealand,4,3,2,1,0,0,0.6271186440677966,0.5705882352941176
2016-02-08,New Zealand,Australia,Hamilton,Seddon Park,Australia,field,New Zealand,2016,New Zealand,4,3,2,2,0,1,0.6271186440677966,0.5705882352941176
2016-02-09,South Africa,England,Centurion,SuperSport Park,England,bat,South Africa,2016,South Africa,2,5,0,2,0,1,0.5828220858895705,0.5895953757225434
2016-02-12,South Africa,England,Johannesburg,New Wanderers Stadium,South Africa,field,South Africa,2016,South Africa,2,4,1,2,1,1,0.5828220858895705,0.5895953757225434
2016-02-14,South Africa,England,Cape Town,Newlands,South Africa,field,South Africa,2016,South Africa,3,3,2,2,1,1,0.5828220858895705,0.5895953757225434
2016-06-03,West Indies,South Africa,Guyana,Providence Stadium,South Africa,bat,West Indies,2016,Neutral,1,3,1,5,0,1,0.34591194968553457,0.5828220858895705
2016-06-05,West Indies,Australia,Guyana,Providence Stadium,Australia,field,Australia,2016,Neutral,1,2,0,0,1,0,0.34591194968553457,0.5705882352941176
2016-06-07,Australia,South Africa,Guyana,Providence Stadium,South Africa,bat,South Africa,2016,Neutral,2,3,0,0,1,0,0.5705882352941176,0.5828220858895705
2016-06-11,Zimbabwe,India,Unknown,Harare Sports Club,India,field,India,2016,Neutral,1,1,0,4,1,0,0.29357798165137616,0.673469387755102
2016-06-11,Australia,South Africa,St Kitts,"Warner Park, Basseterre",Australia,bat,Australia,2016,Neutral,2,4,0,1,1,1,0.5705882352941176,0.5828220858895705
2016-06-13,Zimbabwe,India,Unknown,Harare Sports Club,India,field,India,2016,Neutral,0,2,0,5,1,0,0.29357798165137616,0.673469387755102
2016-06-13,West Indies,Australia,St Kitts,"Warner Park, Basseterre",West Indies,field,West Indies,2016,Neutral,1,3,0,1,1,1,0.34591194968553457,0.5705882352941176
2016-06-15,West Indies,South Africa,St Kitts,"Warner Park, Basseterre",West Indies,field,South Africa,2016,Neutral,2,3,2,5,0,0,0.34591194968553457,0.5828220858895705
2016-06-15,Zimbabwe,India,Unknown,Harare Sports Club,Zimbabwe,bat,India,2016,Neutral,0,3,0,6,0,0,0.29357798165137616,0.673469387755102
2016-06-18,Ireland,Sri Lanka,Dublin,"The Village, Malahide",Ireland,field,Sri Lanka,2016,Neutral,1,2,0,0,0,0,0.4024390243902439,0.41899441340782123
2016-06-21,West Indies,Australia,Barbados,"Kensington Oval, Bridgetown",Australia,field,Australia,2016,West Indies,2,2,1,1,1,0,0.34591194968553457,0.5705882352941176
2016-06-24,West Indies,South Africa,Barbados,"Kensington Oval, Bridgetown",South Africa,field,West Indies,2016,West Indies,2,3,2,6,0,1,0.34591194968553457,0.5828220858895705
2016-06-24,England,Sri Lanka,Birmingham,Edgbaston,Sri Lanka,bat,England,2016,England,2,2,0,1,0,1,0.5895953757225434,0.41899441340782123
2016-06-26,West Indies,Australia,Barbados,"Kensington Oval, Bridgetown",Australia,bat,Australia,2016,West Indies,2,3,1,2,1,0,0.34591194968553457,0.5705882352941176
2016-06-29,England,Sri Lanka,London,Kennington Oval,England,field,England,2016,England,2,2,1,1,1,1,0.5895953757225434,0.41899441340782123
2016-07-02,England,Sri Lanka,Cardiff,Sophia Gardens,Sri Lanka,field,England,2016,England,2,2,2,1,0,1,0.5895953757225434,0.41899441340782123
2016-08-14,Scotland,United Arab Emirates,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,field,Scotland,2016,Neutral,0,0,0,0,0,1,0.5714285714285714,0.3486238532110092
2016-08-16,Scotland,United Arab Emirates,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,bat,Scotland,2016,Neutral,1,0,1,0,0,1,0.5714285714285714,0.3486238532110092
2016-08-18,Ireland,Pakistan,Dublin,"The Village, Malahide",Ireland,field,Pakistan,2016,Neutral,1,0,0,1,0,0,0.4024390243902439,0.5123456790123457
2016-08-21,Sri Lanka,Australia,Colombo,R Premadasa Stadium,Australia,field,Australia,2016,Sri Lanka,1,3,0,1,1,0,0.41899441340782123,0.5705882352941176
2016-08-24,England,Pakistan,Southampton,The Rose Bowl,Pakistan,bat,England,2016,Neutral,3,1,3,1,0,1,0.5895953757225434,0.5123456790123457
2016-08-24,Sri Lanka,Australia,Colombo,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,2016,Sri Lanka,1,4,0,2,1,1,0.41899441340782123,0.5705882352941176
2016-08-27,England,Pakistan,London,Lord's,Pakistan,bat,England,2016,England,4,1,4,1,0,1,0.5895953757225434,0.5123456790123457
2016-08-28,Sri Lanka,Australia,Unknown,Rangiri Dambulla International Stadium,Sri Lanka,bat,Australia,2016,Neutral,1,3,1,2,0,0,0.41899441340782123,0.5705882352941176
2016-08-30,England,Pakistan,Nottingham,Trent Bridge,England,bat,England,2016,England,5,1,5,1,1,1,0.5895953757225434,0.5123456790123457
2016-08-31,Sri Lanka,Australia,Unknown,Rangiri Dambulla International Stadium,Sri Lanka,bat,Australia,2016,Neutral,1,4,1,3,0,0,0.41899441340782123,0.5705882352941176
